"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,500,90,0.02,,250,1,109,0.004722,,250,1,109,0.00,,250,60,1,0.01,,250,60,1,0.01
,500,91,0.02,,250,1,110,0.011691,,250,1,110,0.01,,250,64,1,0.01,,250,64,1,0.01
,500,92,0.02,,250,1,110,0.004718,,250,1,110,0.00,,250,64,1,0.01,,250,64,1,0.01
,500,93,0.02,,250,1,111,0.011736,,250,1,111,0.01,,500,1,4,0.01,,500,1,4,0.01
,500,94,0.02,,250,1,111,0.004743,,250,1,111,0.00,,500,1,4,0.01,,500,1,4,0.01
,500,95,0.02,,250,1,112,0.011892,,250,1,112,0.01,,500,1,8,0.01,,500,1,8,0.01
,500,96,0.02,,250,1,112,0.004777,,250,1,112,0.00,,500,1,8,0.01,,500,1,8,0.01
,500,97,0.02,,250,1,113,0.011805,,250,1,113,0.01,,500,1,12,0.01,,500,1,12,0.01
,500,98,0.02,,250,1,113,0.004637,,250,1,113,0.00,,500,1,12,0.01,,500,1,12,0.01
,500,99,0.02,,250,1,114,0.011928,,250,1,114,0.01,,500,1,16,0.00,,500,1,16,0.00
,500,100,0.02,,250,1,114,0.004573,,250,1,114,0.00,,500,1,16,0.00,,500,1,16,0.00
,500,101,0.03,,250,1,115,0.012171,,250,1,115,0.01,,500,1,20,0.00,,500,1,20,0.00
,500,102,0.03,,250,1,115,0.004598,,250,1,115,0.00,,500,1,20,0.00,,500,1,20,0.00
,500,103,0.03,,250,1,116,0.012074,,250,1,116,0.01,,500,1,24,0.01,,500,1,24,0.01
,500,104,0.03,,250,1,116,0.004690,,250,1,116,0.00,,500,1,24,0.01,,500,1,24,0.01
,500,105,0.03,,250,1,117,0.012374,,250,1,117,0.01,,500,1,28,0.01,,500,1,28,0.01
,500,106,0.03,,250,1,117,0.004839,,250,1,117,0.00,,500,1,28,0.01,,500,1,28,0.01
,500,107,0.03,,250,1,118,0.012445,,250,1,118,0.01,,500,1,32,0.01,,500,1,32,0.01
